case_id,created_at,status,source_type,source_url,language,domain,track,symptom,raw_snippet,repro_steps,expected_behavior,actual_behavior,root_cause,fix_summary,impact_score,frequency_score,clarity_score,priority_score,owner,reviewer,lesson_id,notes
CASE-2026-03-001,2026-03-09,new,article,https://www.theregister.com/2024/03/28/ai_bots_hallucinate_software_packages/,python,dependency_security,verification,"AI suggests non-existent package; developers install it","pip install huggingface-cli","1) Ask LLM for Hugging Face CLI install command 2) Run suggested pip command","Tool should suggest official package/install path","Suggested package name is fake and can be attacker-controlled","LLM dependency hallucination + public registry namespace abuse","Add package verification step (registry check + maintainer/date checks) before install",5,4,5,4.7,,,,"Good anchor case for slopsquatting lesson"
CASE-2026-03-002,2026-03-09,new,article,https://www.theregister.com/2024/03/28/ai_bots_hallucinate_software_packages/,javascript,dependency_security,verification,"Hallucinated npm/python package names repeat across runs","Repeated fake package names from model outputs","1) Query model repeatedly with same coding tasks 2) Track suggested packages","Low/no fake dependency rate","Persistent hallucinations observed; exploitable in Python/npm","Repetitive hallucinated names create predictable attack surface","Introduce dependency allowlist and block newly published unknown packages",5,4,4,4.5,,,,"Use as dataset-driven verification exercise"
CASE-2026-03-003,2026-03-09,new,official_docs,https://docs.github.com/en/copilot/responsible-use/copilot-coding-agent,polyglot,inaccurate_generation,verification,"Generated code appears valid but can be semantically/syntactically wrong","Copilot docs: generated code may be inaccurate","1) Use coding agent output without tests 2) Merge directly","Agent output should be trustworthy by default","Output can violate intent or contain errors","Probabilistic generation without full correctness guarantees","Require test gate + review checklist before merge",4,5,5,4.5,,,,"Policy lesson: never trust untested AI output"
CASE-2026-03-004,2026-03-09,new,research_paper,https://www.citedrive.com/en/discovery/security-weaknesses-of-copilot-generated-code-in-github-projects-an-empirical-study/,python,security_cwe,verification,"Copilot-generated snippets include high-rate security weaknesses","29.5% Python snippets affected; multiple CWE categories","1) Collect Copilot-tagged snippets 2) Run static analysis","Most generated snippets should pass basic security checks","High proportion contain CWE-level weaknesses","Model optimization for plausibility/functionality over secure defaults","Add SAST scan and security linting into acceptance criteria",5,4,4,4.5,,,,"Use CWE mapping mini-labs"
CASE-2026-03-005,2026-03-09,new,research_paper,https://www.citedrive.com/en/discovery/security-weaknesses-of-copilot-generated-code-in-github-projects-an-empirical-study/,javascript,security_cwe,verification,"JS generated snippets contain exploitable patterns","24.2% JavaScript snippets affected","1) Generate JS snippets with assistant 2) Scan with eslint/security tooling","Generated code should be safe-by-default","Frequent injection/XSS-style weakness patterns","Training data + weak secure-by-default prompting","Teach threat-model checklist for every AI patch",5,4,4,4.5,,,,"Pair with frontend security chapter"
CASE-2026-03-006,2026-03-09,new,press_release,https://cyber.nyu.edu/2021/10/15/ccs-researchers-find-github-copilot-generates-vulnerable-code-40-of-the-time/,polyglot,security_baseline,verification,"High vulnerability rate in generated code","~40% generated samples vulnerable in study","1) Recreate prompt scenarios 2) Analyze generated implementations","Low critical-vuln rate in suggestions","Large fraction vulnerable/buggy","LLM completion optimized for matching patterns, not security proofs","Adopt secure template snippets and mandatory security review",5,3,4,4.2,,,,"Historical baseline for why verification matters"
CASE-2026-03-007,2026-03-09,new,stackoverflow,https://stackoverflow.com/questions/77812049/openai-api-error-choice-object-has-no-attribute-text,python,api_mismatch,debugging,"Code uses wrong response field and crashes","'Choice' object has no attribute 'text'","1) Use Chat Completions API 2) Access response.choices[0].text","Should return content string","Runtime attribute error occurs","Outdated API usage pattern mixed with current SDK","Replace with response.choices[0].message.content",3,5,5,4.0,,,,"Great beginner 'AI outdated code' lesson"
CASE-2026-03-008,2026-03-09,new,github_issue,https://github.com/microsoft/vscode-copilot-release/issues/9940,typescript,path_handling,automation_literacy,"Agent writes invalid path separators in WSL context","Expected /home/... but generated \\home\\...","1) Use Copilot agent in WSL 2) Ask for file generation 3) Try save","Generated file path should match environment","Save/keep action fails due invalid path format","Environment-aware path normalization failure","Add environment detector + path canonicalization checks",4,4,4,4.0,,,,"Good 'verify before apply' file-ops case"
CASE-2026-03-009,2026-03-09,new,github_issue,https://github.com/microsoft/vscode/issues/265794,typescript,patch_regression,debugging,"Agent reapplies superseded edits and corrupts file state","Keep Changes applies older intermediate diffs","1) Long multi-step session 2) Manual edits between agent runs 3) Keep changes","Final diff should reflect latest accepted state","Older edits are reintroduced; regression appears","Diff application pipeline mixes stale intermediate states","Require final-state diff preview + conflict detection before apply",5,3,4,4.1,,,,"Strong advanced debugging scenario"
CASE-2026-03-010,2026-03-09,new,github_issue,https://github.com/microsoft/vscode/issues/271620,markdown,instruction_following,automation_literacy,"Commit message generation ignores custom instructions","Configured instructions in settings are not followed","1) Configure instruction file 2) Generate commit message","Output should follow instruction format","Generic output ignores constraints","Instruction ingestion path/feature instability","Add validation: reject output when policy markers absent",3,4,4,3.5,,,,"Can be used for prompt-contract lesson"
