organization,category,contact_type,contact_value,source_url,note
팀스파르타(스파르타코딩클럽/항해99/내일배움캠프),교육 공급사(B2B),email,contact@teamsparta.co,https://spartacodingclub.kr/catalog/web,공식 사이트 하단
팀스파르타(스파르타코딩클럽/항해99/내일배움캠프),교육 공급사(B2B),phone,1522-8016,https://spartacodingclub.kr/catalog/web,공식 사이트 하단
팀스파르타(스파르타코딩클럽/항해99/내일배움캠프),교육 공급사(B2B),chat,1:1 채팅상담,https://support.spartacodingclub.kr/,고객센터 채팅
코드잇,교육 공급사(B2B),email,support@codeit.kr,https://www.codeit.kr/faq,공식 FAQ 하단
코드잇,교육 공급사(B2B),phone,02-6020-0870,https://www.codeit.kr/faq,공식 FAQ 하단
코드잇,교육 공급사(B2B),form,문의하기,https://www.codeit.kr/faq,공식 FAQ 내 문의 링크
엘리스,교육 공급사(B2B),email,contact@elice.io,https://elice.io/ko/contact,공식 문의 페이지
엘리스,교육 공급사(B2B),phone,1833-2677,https://elice.io/ko/contact,공식 문의 페이지
엘리스,교육 공급사(B2B),form,도입 문의하기,https://elice.io/ko/contact,공식 도입문의 폼
코드스테이츠,교육 공급사(B2B),email,b2b@codestates.com,https://www.codestates.com/,공식 사이트 하단
코드스테이츠,교육 공급사(B2B),email,communication@codestates.com,https://www.codestates.com/,공식 사이트 하단(기타 문의)
패스트캠퍼스(데이원컴퍼니),교육 공급사(B2B),email,b2b@day1company.co.kr,https://b2b.fastcampus.co.kr/contact,공식 B2B 문의 페이지
패스트캠퍼스(데이원컴퍼니),교육 공급사(B2B),phone,02-501-7429,https://b2b.fastcampus.co.kr/contact,공식 B2B 문의 페이지
패스트캠퍼스(데이원컴퍼니),교육 공급사(B2B),email,help@fastcampus.co.kr,https://fastcampus.co.kr/b2b_contact,고객센터 메일
패스트캠퍼스(데이원컴퍼니),교육 공급사(B2B),phone,02-501-9396,https://fastcampus.co.kr/b2b_contact,고객센터 번호
프로그래머스(그렙),교육 공급사(B2B),phone,1533-1886,https://school.programmers.co.kr/competitions,공식 서비스 하단 고객센터
프로그래머스(그렙),교육 공급사(B2B),form,기업용 프로그래머스 문의/도입문의,https://business.programmers.co.kr/pricing,비즈니스 페이지 내 도입문의
